Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Title,Milonga_Ready,Artist_Hit,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Juan D'Arienzo,Sexteto Juan D'Arienzo,1928,Callejas Solo,Nada Más,Tango,Carlos Dante,Electra,78rpm,294,769-B,Juan D'Arienzo,Luis Rubistein,,28-30 Sextet,Callejas Solo,0,,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Juan D'Arienzo,Sexteto Juan D'Arienzo,1928,Quejas del Suburbio,,Tango,Carlos Dante,Electra,78rpm,810,154-A,Antonio Polito,Salvador Polito,,28-30 Sextet,Quejas del Suburbio,0,,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Juan D'Arienzo,Sexteto Juan D'Arienzo,1928,Puro Grupo,,Tango,Carlos Dante,Electra,78rpm,298,770-A,Ciriaco Ortiz,J. Garrón,,28-30 Sextet,Puro Grupo,0,,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Juan D'Arienzo,Sexteto Juan D'Arienzo,1928,Juguete,,Tango,Carlos Dante,Electra,78rpm,299,769-A,"Salvador Grupillo, Nicolás Primani",Luis Rubistein,,28-30 Sextet,Juguete,0,,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Juan D'Arienzo,Sexteto Juan D'Arienzo,1928,Funyi Claro,,Tango,Carlos Dante,Electra,78rpm,300,768-A,Nicolás Vaccaro,Eduardo Méndez,,28-30 Sextet,Funyi Claro,0,,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Juan D'Arienzo,Sexteto Juan D'Arienzo,1928,Esta Noche Me Emborracho,,Tango,Carlos Dante,Electra,78rpm,811,150-A,Enrique Discépolo,Enrique Discépolo,,28-30 Sextet,Esta Noche Me Emborracho,0,,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Juan D'Arienzo,Sexteto Juan D'Arienzo,1928,Pebetita,,Tango,Instrumental,Electra,78rpm,304,772-A,Salvador Polito,,,28-30 Sextet,Pebetita,0,,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Juan D'Arienzo,Sexteto Juan D'Arienzo,1928,La Otra Noche,,Tango,Carlos Dante,Electra,78rpm,305,772-B,"Antonio Romano, Alberto Celenza",José De Grandis,,28-30 Sextet,La Otra Noche,0,,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Juan D'Arienzo,Sexteto Juan D'Arienzo,1928,Sandía Calada,,Tango,Carlos Dante,Electra,78rpm,306,767-B,Arturo Aieta,Jorge Curí,,28-30 Sextet,Sandía Calada,0,,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Juan D'Arienzo,Sexteto Juan D'Arienzo,1928,Chorra,,Tango,Carlos Dante,Electra,78rpm,307,773-B,Enrique Discépolo,Enrique Discépolo,,28-30 Sextet,Chorra,0,,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo","Piano, Bass, 3 Bandoneons, 3 Violins",Single,28-30 Sextet,B,1928_Chorra_D-Arienzo
