Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Aníbal Troilo,Aníbal Troilo y su Orquesta Típica,3/7/1938,Comme Il Faut,,Tango,Instrumental,Odeón,78rpm,9326-1,7160 A,Eduardo Arolas,,,38-41 Goñi (Pre-Malena),Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino,David Díaz; Hugo Baralis; Pedro Sapochnik,
Aníbal Troilo,Aníbal Troilo y su Orquesta Típica,3/7/1938,Tinta Verde,,Tango,Instrumental,Odeón,78rpm,9327-1,7160 B,Agustín Bardi,,,38-41 Goñi (Pre-Malena),Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino,David Díaz; Hugo Baralis; Pedro Sapochnik,
Aníbal Troilo,Aníbal Troilo y su Orquesta Típica,3/4/1941,Yo Soy el Tango,,Tango,Francisco Fiorentino,Víctor,78rpm,39822-1,39246 A,Domingo Federico,Homero Expósito,,38-41 Goñi (Pre-Malena),Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo,David Díaz; Reynaldo Nichele; Hugo Baralis; Pedro Sapochnik,
Aníbal Troilo,Aníbal Troilo y su Orquesta Típica,3/4/1941,Mano Brava,,Milonga,Francisco Fiorentino,Víctor,78rpm,39823-1,39246 B,Manuel Buzón,Enrique Cadícamo,,38-41 Goñi (Pre-Malena),Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo,David Díaz; Reynaldo Nichele; Hugo Baralis; Pedro Sapochnik,
Aníbal Troilo,Aníbal Troilo y su Orquesta Típica,3/4/1941,Toda Mi Vida,,Tango,Francisco Fiorentino,Víctor,78rpm,BAVE-039824,Victor (Argentina) 39256 A,Aníbal Troilo,José Contursi,,38-41 Goñi (Pre-Malena),Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo,David Díaz; Reynaldo Nichele; Hugo Baralis; Pedro Sapochnik,
Aníbal Troilo,Aníbal Troilo y su Orquesta Típica,3/4/1941,Cachirulo,,Tango,Instrumental,Víctor,78rpm,BAVE-039825,Victor (Argentina) 39256 B,Francisco Cafiero,,,38-41 Goñi (Pre-Malena),Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo,David Díaz; Reynaldo Nichele; Hugo Baralis; Pedro Sapochnik,
Aníbal Troilo,Aníbal Troilo y su Orquesta Típica,4/16/1941,Con Toda la Voz Que Tengo,,Milonga,Francisco Fiorentino,Víctor,78rpm,BAVE-039852,Victor (Argentina) 39265 B,Aníbal Troilo,Enrique Dizeo,,38-41 Goñi (Pre-Malena),Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo,David Díaz; Reynaldo Nichele; Hugo Baralis; Pedro Sapochnik,
Aníbal Troilo,Aníbal Troilo y su Orquesta Típica,4/16/1941,Te Aconsejo Que Me Olvides,,Tango,Francisco Fiorentino,Víctor,78rpm,BAVE-039853,Victor (Argentina) 39265 A,Pedro Maffía,Jorge Curí,,38-41 Goñi (Pre-Malena),Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo,David Díaz; Reynaldo Nichele; Hugo Baralis; Pedro Sapochnik,
Aníbal Troilo,Aníbal Troilo y su Orquesta Típica,5/28/1941,Pájaro Ciego,,Tango,Francisco Fiorentino y Roberto Mandarino,Víctor,78rpm,BAVE-039981,Victor (Argentina) 39299 B,Antonio Bonavena,Lito Bayardo,,38-41 Goñi (Pre-Malena),Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo,David Díaz; Reynaldo Nichele; Hugo Baralis; Pedro Sapochnik,
Aníbal Troilo,Aníbal Troilo y su Orquesta Típica,5/28/1941,Tabernero,,Tango,Francisco Fiorentino,Víctor,78rpm,BAVE-039980,Victor (Argentina) 39299 A,Fausto Cafre,Raúl Oliveri,,38-41 Goñi (Pre-Malena),Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo,David Díaz; Reynaldo Nichele; Hugo Baralis; Pedro Sapochnik,
Aníbal Troilo,Aníbal Troilo y su Orquesta Típica,6/17/1941,El Bulín de la Calle Ayacucho,,Tango,Francisco Fiorentino,Víctor,78rpm,BAVE-059523,Victor (Argentina) 39318 A,José Servidio,Celedonio Flores,,38-41 Goñi (Pre-Malena),Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo,David Díaz; Reynaldo Nichele; Hugo Baralis; Pedro Sapochnik,
